g2 dynamics at tau=0, Fock-1 initial state, w=w_dip
t [ps]       g2 [unitless]
0.000000     0.000000    
0.004781     0.000000    
0.009561     0.000000    
0.014342     0.000000    
0.019122     0.000000    
0.023903     0.000000    
0.028684     0.000000    
0.033464     0.000000    
0.038245     0.000000    
0.043026     0.000000    
0.047806     0.000000    
0.052587     0.000000    
0.057367     0.000000    
0.062148     0.000000    
0.066929     0.000000    
0.071709     0.000000    
0.076490     0.000000    
0.081270     0.000000    
0.086051     0.000000    
0.090832     0.000000    
0.095612     0.000000    
0.100393     0.000000    
0.105174     0.000000    
0.109954     0.000000    
0.114735     0.000000    
0.119515     0.000000    
0.124296     0.000000    
0.129077     0.000000    
0.133857     0.000000    
0.138638     0.000000    
0.143418     0.000000    
0.148199     0.000000    
0.152980     0.000000    
0.157760     0.000000    
0.162541     0.000000    
0.167322     0.000000    
0.172102     0.000000    
0.176883     0.000000    
0.181663     0.000000    
0.186444     0.000000    
0.191225     0.000000    
0.196005     0.000000    
0.200786     0.000000    
0.205566     0.000000    
0.210347     0.000000    
0.215128     0.000000    
0.219908     0.000000    
0.224689     0.000000    
0.229470     0.000000    
0.234250     0.000000    
0.239031     0.000000    
0.243811     0.000000    
0.248592     0.000000    
0.253373     0.000000    
0.258153     0.000000    
0.262934     0.000000    
0.267714     0.000000    
0.272495     0.000000    
0.277276     0.000000    
0.282056     0.000000    
0.286837     0.000000    
0.291618     0.000000    
0.296398     0.000000    
0.301179     0.000000    
0.305959     0.000000    
0.310740     0.000000    
0.315521     0.000000    
0.320301     0.000000    
0.325082     0.000000    
0.329862     0.000000    
0.334643     0.000000    
0.339424     0.000000    
0.344204     0.000000    
0.348985     0.000000    
0.353766     0.000000    
0.358546     0.000000    
0.363327     0.000000    
0.368107     0.000000    
0.372888     0.000000    
0.377669     0.000000    
0.382449     0.000000    
0.387230     0.000000    
0.392011     0.000000    
0.396791     0.000000    
0.401572     0.000000    
0.406352     0.000000    
0.411133     0.000000    
0.415914     0.000000    
0.420694     0.000000    
0.425475     0.000000    
0.430255     0.000000    
0.435036     0.000000    
0.439817     0.000000    
0.444597     0.000000    
0.449378     0.000000    
0.454159     0.000000    
0.458939     0.000000    
0.463720     0.000000    
0.468500     0.000000    
0.473281     0.000000    
0.478062     0.000000    
0.482842     0.000000    
0.487623     0.000000    
0.492403     0.000000    
0.497184     0.000000    
0.501965     0.000000    
0.506745     0.000000    
0.511526     0.000000    
0.516307     0.000000    
0.521087     0.000000    
0.525868     0.000000    
0.530648     0.000000    
0.535429     0.000000    
0.540210     0.000000    
0.544990     0.000000    
0.549771     0.000000    
0.554551     0.000000    
0.559332     0.000000    
0.564113     0.000000    
0.568893     0.000000    
0.573674     0.000000    
0.578455     0.000000    
0.583235     0.000000    
0.588016     0.000000    
0.592796     0.000000    
0.597577     0.000000    
0.602358     0.000000    
0.607138     0.000000    
0.611919     0.000000    
0.616699     0.000000    
0.621480     0.000000    
0.626261     0.000000    
0.631041     0.000000    
0.635822     0.000000    
0.640603     0.000000    
0.645383     0.000000    
0.650164     0.000000    
0.654944     0.000000    
0.659725     0.000000    
0.664506     0.000000    
0.669286     0.000000    
0.674067     0.000000    
0.678847     0.000000    
0.683628     0.000000    
0.688409     0.000000    
0.693189     0.000000    
0.697970     0.000000    
0.702751     0.000000    
0.707531     0.000000    
0.712312     0.000000    
0.717092     0.000000    
0.721873     0.000000    
0.726654     0.000000    
0.731434     0.000000    
0.736215     0.000000    
0.740995     0.000000    
0.745776     0.000000    
0.750557     0.000000    
0.755337     0.000000    
0.760118     0.000000    
0.764899     0.000000    
0.769679     0.000000    
0.774460     0.000000    
0.779240     0.000000    
0.784021     0.000000    
0.788802     0.000000    
