g2 dynamics at tau=0, vacuum initial state, w=w_dip
t [ps]       g2 [1]      
0.000000     nan         
0.004532     0.000000    
0.009064     0.000000    
0.013595     0.000000    
0.018127     0.000000    
0.022659     0.000000    
0.027191     0.000000    
0.031723     0.000000    
0.036254     0.000000    
0.040786     0.000000    
0.045318     0.000000    
0.049850     0.000000    
0.054381     0.000000    
0.058913     0.000000    
0.063445     0.000000    
0.067977     0.000000    
0.072509     0.000000    
0.077040     0.000000    
0.081572     0.000000    
0.086104     0.000000    
0.090636     0.000000    
0.095168     0.000000    
0.099699     0.000000    
0.104231     0.000000    
0.108763     0.000000    
0.113295     0.000000    
0.117827     0.000000    
0.122358     0.000000    
0.126890     0.000000    
0.131422     0.000000    
0.135954     0.000000    
0.140485     0.000000    
0.145017     0.000000    
0.149549     0.000000    
0.154081     0.000000    
0.158613     0.000000    
0.163144     0.000000    
0.167676     0.000000    
0.172208     0.000000    
0.176740     0.000000    
0.181272     0.000000    
0.185803     0.000000    
0.190335     0.000000    
0.194867     0.000000    
0.199399     0.000000    
0.203931     0.000000    
0.208462     0.000000    
0.212994     0.000000    
0.217526     0.000000    
0.222058     0.000000    
0.226589     0.000000    
0.231121     0.000000    
0.235653     0.000000    
0.240185     0.000000    
0.244717     0.000000    
0.249248     0.000000    
0.253780     0.000000    
0.258312     0.000000    
0.262844     0.000000    
0.267376     0.000000    
0.271907     0.000000    
0.276439     0.000000    
0.280971     0.000000    
0.285503     0.000000    
0.290035     0.000000    
0.294566     0.000000    
0.299098     0.000000    
0.303630     0.000000    
0.308162     0.000000    
0.312693     0.000000    
0.317225     0.000000    
0.321757     0.000000    
0.326289     0.000000    
0.330821     0.000000    
0.335352     0.000000    
0.339884     0.000000    
0.344416     0.000000    
0.348948     0.000000    
0.353480     0.000000    
0.358011     0.000000    
0.362543     0.000000    
0.367075     0.000000    
0.371607     0.000000    
0.376138     0.000000    
0.380670     0.000000    
0.385202     0.000000    
0.389734     0.000000    
0.394266     0.000000    
0.398797     0.000000    
0.403329     0.000000    
0.407861     0.000000    
0.412393     0.000000    
0.416925     0.000000    
0.421456     0.000000    
0.425988     0.000000    
0.430520     0.000000    
0.435052     0.000000    
0.439584     0.000000    
0.444115     0.000000    
0.448647     0.000000    
0.453179     0.000000    
0.457711     0.000000    
0.462242     0.000000    
0.466774     0.000000    
0.471306     0.000000    
0.475838     0.000000    
0.480370     0.000000    
0.484901     0.000000    
0.489433     1.003730    
0.493965     1.003707    
0.498497     1.003684    
0.503029     1.003660    
0.507560     1.003638    
0.512092     1.003598    
0.516624     1.003573    
0.521156     1.003546    
0.525688     1.003535    
0.530219     1.003501    
0.534751     1.003480    
0.539283     1.003485    
0.543815     1.003448    
0.548346     1.003444    
0.552878     1.003405    
0.557410     1.003398    
0.561942     1.003373    
0.566474     1.003358    
0.571005     1.003363    
0.575537     1.003322    
0.580069     1.003299    
0.584601     1.003291    
0.589133     1.003250    
0.593664     1.003237    
0.598196     1.003209    
0.602728     1.003205    
0.607260     1.003192    
0.611792     1.003165    
0.616323     1.003148    
0.620855     1.003150    
0.625387     1.003127    
0.629919     1.003105    
0.634450     1.003090    
0.638982     1.003074    
0.643514     1.003056    
0.648046     1.003041    
0.652578     1.003028    
0.657109     1.003005    
0.661641     1.002997    
0.666173     1.003006    
0.670705     1.002949    
0.675237     1.002919    
0.679768     1.002900    
0.684300     1.002889    
0.688832     1.002866    
0.693364     1.002861    
0.697896     1.002843    
0.702427     1.002828    
0.706959     1.002808    
0.711491     1.002791    
0.716023     1.002780    
0.720554     1.002762    
0.725086     1.002762    
0.729618     1.002746    
0.734150     1.002727    
0.738682     1.002712    
0.743213     1.002696    
0.747745     1.002693    
0.752277     1.002679    
0.756809     1.002663    
0.761341     1.002644    
0.765872     1.002634    
0.770404     1.002619    
0.774936     1.002601    
0.779468     1.002590    
0.784000     1.002580    
0.788531     1.002570    
0.793063     1.002557    
0.797595     1.002542    
0.802127     1.002527    
0.806658     1.002515    
0.811190     1.002503    
0.815722     1.002486    
0.820254     1.002477    
0.824786     1.002462    
0.829317     1.002452    
0.833849     1.002441    
0.838381     1.002437    
0.842913     1.002427    
0.847445     1.002420    
0.851976     1.002415    
0.856508     1.002417    
0.861040     1.002402    
0.865572     1.002403    
0.870104     1.002388    
0.874635     1.002378    
0.879167     1.002369    
0.883699     1.002366    
0.888231     1.002360    
0.892762     1.002350    
0.897294     1.002341    
0.901826     1.002329    
0.906358     1.002318    
0.910890     1.002307    
0.915421     1.002296    
0.919953     1.002285    
0.924485     1.002274    
0.929017     1.002263    
0.933549     1.002252    
0.938080     1.002243    
0.942612     1.002232    
0.947144     1.002223    
0.951676     1.002215    
0.956208     1.002206    
0.960739     1.002197    
0.965271     1.002191    
0.969803     1.002191    
0.974335     1.002183    
0.978866     1.002174    
0.983398     1.002165    
0.987930     1.002159    
0.992462     1.002151    
0.996994     1.002142    
1.001525     1.002133    
1.006057     1.002123    
1.010589     1.002113    
1.015121     1.002104    
1.019653     1.002095    
1.024184     1.002086    
1.028716     1.002077    
1.033248     1.002070    
1.037780     1.002061    
1.042312     1.002053    
1.046843     1.002045    
1.051375     1.002038    
1.055907     1.002030    
1.060439     1.002022    
1.064970     1.002020    
1.069502     1.002007    
1.074034     1.002002    
1.078566     1.001996    
1.083098     1.001990    
1.087629     1.001982    
1.092161     1.001974    
1.096693     1.001969    
1.101225     1.001963    
1.105757     1.001962    
1.110288     1.001959    
1.114820     1.001948    
1.119352     1.001938    
1.123884     1.001931    
1.128415     1.001925    
1.132947     1.001919    
1.137479     1.001910    
1.142011     1.001899    
1.146543     1.001894    
1.151074     1.001886    
1.155606     1.001881    
1.160138     1.001870    
1.164670     1.001864    
1.169202     1.001859    
1.173733     1.001850    
1.178265     1.001852    
1.182797     1.001848    
1.187329     1.001836    
1.191861     1.001832    
1.196392     1.001824    
1.200924     1.001822    
1.205456     1.001815    
1.209988     1.001809    
1.214519     1.001802    
1.219051     1.001798    
1.223583     1.001786    
1.228115     1.001784    
1.232647     1.001781    
1.237178     1.001769    
1.241710     1.001767    
1.246242     1.001760    
1.250774     1.001758    
1.255306     1.001747    
1.259837     1.001739    
1.264369     1.001735    
1.268901     1.001726    
1.273433     1.001726    
1.277965     1.001719    
1.282496     1.001712    
1.287028     1.001708    
1.291560     1.001708    
1.296092     1.001715    
1.300623     1.001703    
1.305155     1.001697    
1.309687     1.001693    
1.314219     1.001689    
1.318751     1.001685    
1.323282     1.001678    
1.327814     1.001673    
1.332346     1.001664    
1.336878     1.001663    
1.341410     1.001655    
1.345941     1.001650    
1.350473     1.001649    
1.355005     1.001637    
1.359537     1.001633    
1.364069     1.001631    
1.368600     1.001623    
1.373132     1.001613    
1.377664     1.001611    
1.382196     1.001607    
1.386727     1.001601    
1.391259     1.001599    
1.395791     1.001587    
1.400323     1.001583    
1.404855     1.001580    
1.409386     1.001571    
1.413918     1.001568    
1.418450     1.001563    
1.422982     1.001558    
1.427514     1.001550    
1.432045     1.001550    
1.436577     1.001546    
1.441109     1.001534    
1.445641     1.001536    
1.450173     1.001530    
1.454704     1.001526    
1.459236     1.001516    
1.463768     1.001514    
1.468300     1.001507    
1.472831     1.001510    
1.477363     1.001501    
1.481895     1.001489    
1.486427     1.001492    
1.490959     1.001484    
1.495490     1.001487    
1.500022     1.001478    
1.504554     1.001471    
1.509086     1.001467    
1.513618     1.001463    
1.518149     1.001455    
1.522681     1.001452    
1.527213     1.001448    
1.531745     1.001443    
1.536277     1.001441    
1.540808     1.001444    
1.545340     1.001435    
1.549872     1.001440    
1.554404     1.001427    
1.558935     1.001426    
1.563467     1.001419    
1.567999     1.001416    
1.572531     1.001414    
1.577063     1.001410    
1.581594     1.001406    
1.586126     1.001394    
1.590658     1.001393    
1.595190     1.001391    
1.599722     1.001386    
1.604253     1.001387    
1.608785     1.001381    
1.613317     1.001375    
1.617849     1.001371    
1.622381     1.001363    
1.626912     1.001365    
1.631444     1.001366    
1.635976     1.001356    
1.640508     1.001354    
1.645039     1.001356    
1.649571     1.001344    
1.654103     1.001340    
1.658635     1.001342    
1.663167     1.001335    
1.667698     1.001338    
1.672230     1.001328    
1.676762     1.001325    
1.681294     1.001322    
1.685826     1.001319    
1.690357     1.001319    
1.694889     1.001314    
1.699421     1.001316    
1.703953     1.001305    
1.708485     1.001304    
1.713016     1.001302    
1.717548     1.001304    
1.722080     1.001295    
1.726612     1.001285    
1.731143     1.001290    
1.735675     1.001283    
1.740207     1.001283    
1.744739     1.001274    
1.749271     1.001276    
1.753802     1.001273    
1.758334     1.001270    
1.762866     1.001269    
1.767398     1.001266    
1.771930     1.001261    
1.776461     1.001256    
1.780993     1.001251    
1.785525     1.001240    
1.790057     1.001244    
1.794589     1.001246    
1.799120     1.001240    
1.803652     1.001251    
1.808184     1.001240    
1.812716     1.001224    
1.817247     1.001233    
1.821779     1.001228    
1.826311     1.001222    
1.830843     1.001223    
1.835375     1.001216    
1.839906     1.001213    
1.844438     1.001212    
1.848970     1.001212    
1.853502     1.001201    
1.858034     1.001196    
1.862565     1.001198    
1.867097     1.001193    
1.871629     1.001183    
1.876161     1.001190    
1.880692     1.001187    
1.885224     1.001179    
1.889756     1.001179    
1.894288     1.001181    
1.898820     1.001168    
1.903351     1.001168    
1.907883     1.001167    
1.912415     1.001159    
1.916947     1.001153    
1.921479     1.001163    
1.926010     1.001154    
1.930542     1.001141    
1.935074     1.001145    
1.939606     1.001150    
1.944138     1.001145    
1.948669     1.001140    
1.953201     1.001135    
1.957733     1.001142    
1.962265     1.001139    
1.966796     1.001126    
1.971328     1.001133    
1.975860     1.001129    
1.980392     1.001121    
1.984924     1.001129    
1.989455     1.001114    
1.993987     1.001118    
1.998519     1.001109    
2.003051     1.001113    
2.007583     1.001114    
2.012114     1.001107    
2.016646     1.001107    
2.021178     1.001136    
2.025710     1.001138    
2.030242     1.001109    
2.034773     1.001109    
2.039305     1.001105    
2.043837     1.001108    
2.048369     1.001099    
2.052900     1.001097    
2.057432     1.001098    
2.061964     1.001085    
2.066496     1.001076    
2.071028     1.001093    
2.075559     1.001085    
2.080091     1.001088    
2.084623     1.001074    
2.089155     1.001082    
2.093687     1.001073    
2.098218     1.001076    
2.102750     1.001073    
2.107282     1.001065    
2.111814     1.001067    
2.116346     1.001058    
2.120877     1.001058    
2.125409     1.001055    
2.129941     1.001050    
2.134473     1.001051    
2.139004     1.001054    
2.143536     1.001054    
2.148068     1.001042    
2.152600     1.001041    
2.157132     1.001040    
2.161663     1.001045    
2.166195     1.001033    
2.170727     1.001038    
2.175259     1.001043    
2.179791     1.001026    
2.184322     1.001033    
2.188854     1.001024    
2.193386     1.001021    
2.197918     1.001030    
2.202450     1.001013    
2.206981     1.001012    
2.211513     1.001013    
2.216045     1.001011    
2.220577     1.000999    
2.225108     1.001002    
2.229640     1.001002    
2.234172     1.001003    
2.238704     1.001007    
2.243236     1.001000    
2.247767     1.000997    
2.252299     1.000988    
2.256831     1.000992    
2.261363     1.000988    
2.265895     1.000994    
2.270426     1.000985    
2.274958     1.000986    
2.279490     1.000976    
2.284022     1.000979    
2.288554     1.000977    
2.293085     1.000976    
2.297617     1.000973    
2.302149     1.000967    
2.306681     1.000965    
2.311212     1.000957    
2.315744     1.000967    
2.320276     1.000962    
2.324808     1.000957    
2.329340     1.000960    
2.333871     1.000957    
2.338403     1.000955    
2.342935     1.000950    
2.347467     1.000959    
2.351999     1.000945    
2.356530     1.000942    
2.361062     1.000951    
2.365594     1.000948    
